regionName,cells,neurons,glia,excitatory,inhibitory,modulatory,astrocytes,oligodendrocytes,microglia,acronym
Orbital area medial part,153156.234598,84384.4258255,68771.8087728,67551.5032035,16143.9132578,689.009364219,8245.44110399,31565.303105,28961.0645638,ORBm
Orbital area ventrolateral part,145393.002962,81393.6434233,63999.3595389,66346.6495877,14575.6144424,471.379393163,10923.0646065,33542.2304059,19534.0645265,ORBvl
Retrosplenial area dorsal part,186722.707035,93418.7114009,93303.9956338,78482.1302387,14399.7702008,536.810961422,9675.83374027,29916.9160946,53711.245799,RSPd
Retrosplenial area ventral part,203759.887919,109251.674288,94508.2136314,86491.09356,21835.1115422,925.469185411,11900.2971379,32815.3587979,49792.5576956,RSPv
Retrosplenial area lateral agranular part,180608.550842,92710.2507873,87898.3000544,80126.3664694,12035.153094,548.731223928,12712.6251051,38343.6495243,36842.025425,RSPagl
Ectorhinal area,174556.339333,108292.697916,66263.6414166,92828.0966863,15049.2966339,415.304596169,4275.09229845,27725.0523062,34263.4968119,ECT
Perirhinal area,147038.484285,93087.2805084,53951.2037764,80636.7380294,11929.5906408,520.951838192,2872.4609942,28788.6106302,22290.132152,PERI
Prelimbic area,151005.16321,83738.7940842,67266.3691258,68546.145095,14316.1284677,876.520521572,7803.55298854,28342.6971209,31120.1190164,PL
Primary motor area,139973.711601,65189.4757822,74784.2358192,56924.5074833,7669.35499629,595.613302607,12345.8031705,37286.6933546,25151.7392941,MOp
Secondary motor area,143569.821165,65792.2005096,77777.6206556,53895.1372042,11202.7891895,694.274115883,8852.55574112,31674.5620558,37250.5028587,MOs
Primary auditory area,189335.247403,111015.555645,78319.6917582,101570.034855,9039.06424958,406.456540089,3467.00813671,43839.2411096,31013.4425119,AUDp
Dorsal auditory area,183592.729408,99416.6890917,84176.0403161,90797.2698584,8186.51075177,432.908481542,5457.15194364,41612.4470974,37106.441275,AUDd
Ventral auditory area,186076.061129,114350.392609,71725.6685201,104256.769633,9695.29714017,398.325834972,2897.12569506,40186.1362732,28642.4065519,AUDv
Gustatory areas,127614.286737,71259.8382363,56354.4485005,63768.2055687,7047.74175077,443.890916899,9198.02447928,29035.6882113,18120.7358099,GU
